date,max_temp,min_temp,avg_temp
2026-07-11,36.2,22.4,29.3
2026-07-12,35.7,22.7,29.200000000000003
2026-07-13,34.7,22.6,28.650000000000002
2026-07-14,34.5,21.1,27.8
2026-07-15,32.0,23.9,27.95
2026-07-16,33.4,20.8,27.1
2026-07-17,27.5,20.3,23.9
2026-07-18,29.5,17.9,23.7
